;Lavoura;Ano;UF;id_municipio;Produto;Quantidade produzida;Rendimento médio da produção;Valor da produção;Área colhida;Área destinada à colheita
0;Permanentes;2016;DF;5300108;Abacate;2939.0;19209.0;4873.0;153.0;153.0
1;Permanentes;2016;DF;5300108;Banana (cacho);3136.0;18892.0;3064.0;166.0;166.0
2;Permanentes;2016;DF;5300108;Café (em grão) Arábica;1164.0;2456.0;9433.0;474.0;474.0
3;Permanentes;2016;DF;5300108;Café (em grão) Total;1164.0;2456.0;9433.0;474.0;474.0
4;Permanentes;2016;DF;5300108;Goiaba;5775.0;26986.0;12416.0;214.0;214.0
5;Permanentes;2016;DF;5300108;Laranja;2920.0;19211.0;2304.0;152.0;152.0
6;Permanentes;2016;DF;5300108;Limão;4085.0;26355.0;3709.0;155.0;155.0
7;Permanentes;2016;DF;5300108;Mamão;36.0;12000.0;43.0;3.0;3.0
8;Permanentes;2016;DF;5300108;Manga;824.0;15259.0;989.0;54.0;54.0
9;Permanentes;2016;DF;5300108;Maracujá;3560.0;24054.0;7209.0;148.0;148.0
10;Permanentes;2016;DF;5300108;Palmito;829.0;11203.0;1724.0;74.0;74.0
11;Permanentes;2016;DF;5300108;Tangerina;3179.0;26273.0;3764.0;121.0;121.0
12;Permanentes;2016;DF;5300108;Uva;1386.0;22000.0;5292.0;63.0;63.0
13;Permanentes;2017;DF;5300108;Abacate;3050.0;20470.0;9913.0;149.0;149.0
14;Permanentes;2017;DF;5300108;Banana (cacho);3128.0;18509.0;4692.0;169.0;169.0
15;Permanentes;2017;DF;5300108;Café (em grão) Arábica;968.0;1833.0;7179.0;528.0;528.0
16;Permanentes;2017;DF;5300108;Café (em grão) Total;968.0;1833.0;7179.0;528.0;528.0
17;Permanentes;2017;DF;5300108;Goiaba;8542.0;28285.0;21355.0;302.0;302.0
18;Permanentes;2017;DF;5300108;Laranja;1434.0;19644.0;1243.0;73.0;73.0
19;Permanentes;2017;DF;5300108;Limão;5202.0;27968.0;18207.0;186.0;186.0
20;Permanentes;2017;DF;5300108;Mamão;475.0;19000.0;879.0;25.0;25.0
21;Permanentes;2017;DF;5300108;Manga;694.0;12852.0;1284.0;54.0;54.0
22;Permanentes;2017;DF;5300108;Maracujá;5190.0;34600.0;14273.0;150.0;150.0
23;Permanentes;2017;DF;5300108;Palmito;976.0;13189.0;2440.0;74.0;74.0
24;Permanentes;2017;DF;5300108;Tangerina;4332.0;24897.0;8014.0;174.0;174.0
25;Permanentes;2017;DF;5300108;Uva;1700.0;25000.0;8772.0;68.0;68.0
26;Permanentes;2018;DF;5300108;Abacate;2850.0;20357.0;7125.0;140.0;140.0
27;Permanentes;2018;DF;5300108;Banana (cacho);3216.0;18483.0;4502.0;174.0;174.0
28;Permanentes;2018;DF;5300108;Café (em grão) Arábica;552.0;1600.0;3588.0;345.0;518.0
29;Permanentes;2018;DF;5300108;Café (em grão) Total;552.0;1600.0;3588.0;345.0;518.0
30;Permanentes;2018;DF;5300108;Goiaba;8312.0;27523.0;16624.0;302.0;302.0
31;Permanentes;2018;DF;5300108;Laranja;1010.0;20200.0;889.0;50.0;50.0
32;Permanentes;2018;DF;5300108;Limão;4495.0;27242.0;4495.0;165.0;165.0
33;Permanentes;2018;DF;5300108;Mamão;120.0;15000.0;192.0;8.0;8.0
34;Permanentes;2018;DF;5300108;Manga;960.0;13333.0;768.0;72.0;72.0
35;Permanentes;2018;DF;5300108;Maracujá;3321.0;27675.0;7970.0;120.0;120.0
36;Permanentes;2018;DF;5300108;Palmito;393.0;8362.0;865.0;47.0;47.0
37;Permanentes;2018;DF;5300108;Tangerina;2312.0;19931.0;8220.0;116.0;116.0
38;Permanentes;2018;DF;5300108;Uva;1425.0;25000.0;10944.0;57.0;57.0
39;Permanentes;2019;DF;5300108;Abacate;2850.0;20357.0;5700.0;140.0;140.0
40;Permanentes;2019;DF;5300108;Banana (cacho);3216.0;18483.0;4824.0;174.0;174.0
41;Permanentes;2019;DF;5300108;Café (em grão) Arábica;720.0;1756.0;6840.0;410.0;410.0
42;Permanentes;2019;DF;5300108;Café (em grão) Total;720.0;1756.0;6840.0;410.0;410.0
43;Permanentes;2019;DF;5300108;Goiaba;8312.0;27523.0;12468.0;302.0;302.0
44;Permanentes;2019;DF;5300108;Laranja;1010.0;20200.0;1111.0;50.0;50.0
45;Permanentes;2019;DF;5300108;Limão;4495.0;27242.0;3371.0;165.0;165.0
46;Permanentes;2019;DF;5300108;Mamão;120.0;15000.0;144.0;8.0;8.0
47;Permanentes;2019;DF;5300108;Manga;960.0;13333.0;840.0;72.0;72.0
48;Permanentes;2019;DF;5300108;Maracujá;3321.0;27675.0;9963.0;120.0;120.0
49;Permanentes;2019;DF;5300108;Palmito;393.0;8362.0;1041.0;47.0;47.0
50;Permanentes;2019;DF;5300108;Tangerina;2312.0;19931.0;6936.0;116.0;116.0
51;Permanentes;2019;DF;5300108;Uva;1425.0;25000.0;11578.0;57.0;57.0
52;Permanentes;2020;DF;5300108;Abacate;2850.0;20357.0;11400.0;140.0;140.0
53;Permanentes;2020;DF;5300108;Banana (cacho);3216.0;18483.0;7236.0;174.0;174.0
54;Permanentes;2020;DF;5300108;Café (em grão) Arábica;656.0;1600.0;7544.0;410.0;410.0
55;Permanentes;2020;DF;5300108;Café (em grão) Total;656.0;1600.0;7544.0;410.0;410.0
56;Permanentes;2020;DF;5300108;Goiaba;8312.0;27523.0;22858.0;302.0;302.0
57;Permanentes;2020;DF;5300108;Laranja;1010.0;20200.0;1515.0;50.0;50.0
58;Permanentes;2020;DF;5300108;Limão;4495.0;27242.0;6743.0;165.0;165.0
59;Permanentes;2020;DF;5300108;Mamão;120.0;15000.0;420.0;8.0;8.0
60;Permanentes;2020;DF;5300108;Manga;960.0;13333.0;1440.0;72.0;72.0
61;Permanentes;2020;DF;5300108;Maracujá;3321.0;27675.0;6642.0;120.0;120.0
62;Permanentes;2020;DF;5300108;Palmito;393.0;8362.0;983.0;47.0;47.0
63;Permanentes;2020;DF;5300108;Tangerina;2312.0;19931.0;10404.0;116.0;116.0
64;Permanentes;2020;DF;5300108;Uva;1425.0;25000.0;9975.0;57.0;57.0
